,lemma,0,1,?,-,ajaperiood,asutus,ese,geo_lok,jook_toit,isikunimi,org_ür_fir,piirkond,riide_ese,peal_seista,sisse_minna,suund,taim
304,Liivimaa,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
305,RAM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,taanlane,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,teevabrik,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
308,C-sektor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
309,pingutus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,detsember,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
311,hariduskontseptsioon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,ühistransport,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
313,Walther,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
314,ümbris,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,Wyonk,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
316,kooliharidus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,joobeseisund,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,erifont,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,Ani,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
320,seaduseelnõu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,põliskoht,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,mänguminut,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
323,seksiäri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,stabilisaator,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
325,alkoholiravi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,Fertilitas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
